id,name,host_id,host_name,host_since,neighbourhood,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,review_scores_value
2180355,Spacious apartment in Hip&Happening Amsterdam West,3996463,Daan,28-10-2012,Bos en Lommer,Apartment,Entire home/apt,2,1,1,99,1,0,10,1,0.22,9
2180729,Spacious City Apartment Oud-West ,9238680,Bas,05-10-2013,De Baarsjes - Oud-West,Apartment,Entire home/apt,4,2,4,150,5,0,27,1,0.49,9
2186361,Cosy & authentic in Westerpark,11148293,Inge,09-01-2014,Westerpark,Apartment,Entire home/apt,2,1,1,115,2,0,98,1,1.77,9
2190558,Appartment Bright and Modern in Amsterdam,11171705,Birgit,10-01-2014,Zuid,Apartment,Entire home/apt,2,2,2,150,2,173,0,1,tt,0
2191590,Apartment in Oud West Amsterdam,11176333,Ruben,10-01-2014,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,109,4,0,101,1,1.77,9
2191598,Gezellige kamer dichtbij centrum Amsterdam,3778175,Eline,06-10-2012,De Baarsjes - Oud-West,Apartment,Private room,2,1,1,75,1,2,6,1,0.99,9
2193342,"Private, stylish suite on houseboat",11184992,Femke,10-01-2014,Westerpark,Boat,Private room,3,1,2,115,2,127,234,1,4.31,9
2198890,Amazing familyhouse in old centre,5953322,Marit,16-04-2013,Centrum-Oost,House,Entire home/apt,4,4,8,599,3,0,31,1,0.55,9
2199617,Bright&quiet apt South | Vondelpark & Museum Area,9900371,Wendelien,09-11-2013,Zuid,Apartment,Entire home/apt,4,2,3,140,3,0,7,1,0.27,10
2205757,The perfect Get Away,11253767,Ellis,13-01-2014,Westerpark,Apartment,Entire home/apt,2,1,1,109,3,0,14,1,0.25,9
2205996,Nice rooftop terrace appartment at a lovely canal,9159384,Tim,01-10-2013,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,2,127,2,8,9,1,1.05,10
2206038,Lovely 4p apartment in Center,6514651,Merel,22-05-2013,Bos en Lommer,Apartment,Entire home/apt,4,2,2,180,2,43,49,1,0.83,9
2206842,Stunning loft at canals + parking,11258117,Jorg,13-01-2014,De Baarsjes - Oud-West,Apartment,Entire home/apt,6,2,2,150,1,0,0,1,tt,0
2207977,"Waterside family villa, freeparking",10463068,Marc & Margriet,06-12-2013,IJburg - Zeeburgereiland,Villa,Entire home/apt,6,4,4,295,6,0,0,2,tt,0
2211896,Private studio in De Pijp,11283885,Adam And Branka,14-01-2014,De Pijp - Rivierenbuurt,Apartment,Private room,2,1,1,80,1,257,46,1,0.81,9
2212315,"Light, cozy apartment near center",6059787,Pieter,23-04-2013,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,139,4,339,12,1,0.23,9
2213683,Lovely apartment in beautiful Oosterpark,10940840,Fokko,01-01-2014,Oud-Oost,Loft,Entire home/apt,2,1,1,105,2,3,31,1,0.53,9
2216383,Jordaan Canal House,11305798,Thomas Arthur,14-01-2014,Centrum-West,Apartment,Entire home/apt,2,1,1,149,2,70,32,2,0.61,9
2222064,Beautiful apartment with a terras,11337160,Maayan,15-01-2014,Bos en Lommer,Apartment,Entire home/apt,2,1,1,135,3,219,14,1,0.25,9
